code,profit,factors,regime,entry_day,exit_day,entry,exit
8306.T,-0.0199998469420318,"{'score': 97.34197901030521, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 65.0, 'order_score': 82.0}",BEAR,,,,
6501.T,-0.0232287105545945,"{'score': 99.34642697527593, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 97.0}",SIDE,,,,
7203.T,-0.0044704871725892,"{'score': 54.515660074478006, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 95.0}",BULL,,,,
4063.T,-0.0099171912941763,"{'score': 52.60786965026658, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 82.0}",BEAR,,,,
4063.T,-0.028892634827514,"{'score': 72.58115355290182, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 95.0}",BULL,,,,
8035.T,-0.0792206366679189,"{'score': 53.30387654771435, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 94.0}",BULL,,,,
7203.T,-0.0103449330706178,"{'score': 53.974976471468835, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 85.0, 'order_score': 92.0}",BULL,,,,
2914.T,-0.060109376879836,"{'score': 90.51623071058036, 'institution_hold': True, 'flow_score': 90.0, 'pressure_score': 90.0, 'order_score': 100.0}",BEAR,,,,
7203.T,-0.0376436110653476,"{'score': 72.80844299338538, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 100.0, 'order_score': 96.0}",SIDE,,,,
8058.T,-0.0770642810760679,"{'score': 72.4573876192122, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 94.0}",BULL,,,,
4063.T,-0.0182925751792857,"{'score': 72.6579906901683, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 98.0}",BULL,,,,
6501.T,-0.0543734076443571,"{'score': 72.70814145790733, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 99.0}",SIDE,,,,
2914.T,-0.0871798213674322,"{'score': 52.70903337812412, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 60.0, 'order_score': 94.0}",BULL,,,,
8058.T,-0.0939714302745402,"{'score': 52.9598698020245, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 65.0, 'order_score': 94.0}",BULL,,,,
8035.T,-0.0669694123376225,"{'score': 54.608298713340226, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 97.0}",BULL,,,,
7203.T,-0.0420562566185003,"{'score': 99.29987641667195, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 96.0}",BULL,,,,
8306.T,-0.0200000683559807,"{'score': 97.34197901030521, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 65.0, 'order_score': 82.0}",BEAR,,,,
6501.T,-0.023228809095742,"{'score': 99.34642697527593, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 97.0}",SIDE,,,,
7203.T,-0.0044707915115338,"{'score': 54.515660074478006, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 95.0}",BULL,,,,
4063.T,-0.0099161387042005,"{'score': 52.60786965026658, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 82.0}",BEAR,,,,
4063.T,-0.028891997721473,"{'score': 72.58115355290182, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 95.0}",BULL,,,,
8035.T,-0.0792205680062333,"{'score': 53.30387654771435, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 94.0}",BULL,,,,
7203.T,-0.0103448420403364,"{'score': 53.974976471468835, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 85.0, 'order_score': 92.0}",BULL,,,,
2914.T,-0.0601094447944138,"{'score': 90.51623071058036, 'institution_hold': True, 'flow_score': 90.0, 'pressure_score': 90.0, 'order_score': 100.0}",BEAR,,,,
7203.T,-0.0376435327790465,"{'score': 72.80844299338538, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 100.0, 'order_score': 96.0}",SIDE,,,,
8058.T,-0.0770641526951896,"{'score': 72.4573876192122, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 94.0}",BULL,,,,
4063.T,-0.0182925040330432,"{'score': 72.6579906901683, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 98.0}",BULL,,,,
6501.T,-0.0543733121646921,"{'score': 72.70814145790733, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 99.0}",SIDE,,,,
2914.T,-0.0871794499702003,"{'score': 52.70903337812412, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 60.0, 'order_score': 94.0}",BULL,,,,
8058.T,-0.0939718973541095,"{'score': 52.9598698020245, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 65.0, 'order_score': 94.0}",BULL,,,,
8035.T,-0.0669694167022787,"{'score': 54.608298713340226, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 97.0}",BULL,,,,
7203.T,-0.042056179434886,"{'score': 99.29987641667195, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 96.0}",BULL,,,,
8306.T,-0.0199997726420472,"{'score': 97.34197901030521, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 65.0, 'order_score': 82.0}",BEAR,,,,
6501.T,-0.0232285180502289,"{'score': 99.34642697527593, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 97.0}",SIDE,,,,
7203.T,-0.0044704107461664,"{'score': 54.515660074478006, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 95.0}",BULL,,,,
4063.T,-0.0099170510886331,"{'score': 52.60786965026658, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 82.0}",BEAR,,,,
4063.T,-0.0288925617580931,"{'score': 72.58115355290182, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 95.0}",BULL,245.0,248.0,859.4378051757812,834.6064453125
8035.T,-0.0792207680838395,"{'score': 53.30387654771435, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 94.0}",BULL,241.0,250.0,1637.0098876953125,1507.32470703125
7203.T,-0.0103445763303357,"{'score': 53.974976471468835, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 85.0, 'order_score': 92.0}",BULL,245.0,251.0,684.3651733398438,677.2857055664062
2914.T,-0.0601091644493104,"{'score': 90.51623071058036, 'institution_hold': True, 'flow_score': 90.0, 'pressure_score': 90.0, 'order_score': 100.0}",BEAR,245.0,259.0,844.68408203125,793.9108276367188
7203.T,-0.0376433634587928,"{'score': 72.80844299338538, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 100.0, 'order_score': 96.0}",SIDE,259.0,271.0,720.943359375,693.8046264648438
8058.T,-0.0770637280958882,"{'score': 72.4573876192122, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 94.0}",BULL,263.0,272.0,475.4223327636719,438.7845153808594
4063.T,-0.0182929699792903,"{'score': 72.6579906901683, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 98.0}",BULL,264.0,273.0,904.9620361328124,888.4075927734375
6501.T,-0.0543735086140804,"{'score': 72.70814145790733, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 99.0}",SIDE,264.0,273.0,604.4896850585938,571.6214599609375
2914.T,-0.0871796652276877,"{'score': 52.70903337812412, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 60.0, 'order_score': 94.0}",BULL,287.0,290.0,900.0731811523438,821.6051025390625
8058.T,-0.0939714864736785,"{'score': 52.9598698020245, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 65.0, 'order_score': 94.0}",BULL,287.0,291.0,491.996826171875,445.7631530761719
8035.T,-0.0669694862408161,"{'score': 54.608298713340226, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 97.0}",BULL,290.0,293.0,1872.994384765625,1747.5609130859375
