code,factors,profit,regime
8306.T,"{'market': 97.1101808615554, 'tech': 100.0, 'news': 0.0, 'inst': 100.0, 'future': 38.70060287185137}",0,BULL
9432.T,"{'market': 69.83072386543415, 'tech': 43.57, 'news': 0.0, 'inst': 50.0, 'future': 39.43574621811384}",0,SIDE
9984.T,"{'market': 65.08679922758628, 'tech': 86.08, 'news': 0.0, 'inst': 75.0, 'future': 40.289330758620935}",0,BEAR
7203.T,"{'market': 59.859961409782464, 'tech': 84.19, 'news': 0.0, 'inst': 50.0, 'future': 39.533204699274876}",0,BEAR
6758.T,"{'market': 5.568433326812212, 'tech': 27.76, 'news': 0.0, 'inst': 50.0, 'future': 11.894777756040702}",0,BEAR
6758.T,"{'market': 5.426692126971249, 'tech': 27.89, 'news': 0.0, 'inst': 50.0, 'future': 11.422307089904157}",0,BEAR
7203.T,"{'market': 59.94638540594776, 'tech': 84.47, 'news': 0.0, 'inst': 50.0, 'future': 39.821284686492525}",0,BEAR
9432.T,"{'market': 69.62814252602568, 'tech': 43.57, 'news': 0.0, 'inst': 50.0, 'future': 38.76047508675226}",0,SIDE
9984.T,"{'market': 59.41097908017957, 'tech': 37.16, 'news': 0.0, 'inst': 50.0, 'future': 38.03659693393191}",0,BEAR
8306.T,"{'market': 92.6652275095076, 'tech': 56.71, 'news': 0.0, 'inst': 85.0, 'future': 40.550758365025345}",0,BULL
8306.T,"{'market': 96.56451393649685, 'tech': 100.0, 'news': 0.0, 'inst': 70.0, 'future': 43.548379788322855}",0,BULL
9432.T,"{'market': 70.18054913877334, 'tech': 43.64, 'news': 0.0, 'inst': 50.0, 'future': 40.6018304625778}",0,SIDE
6758.T,"{'market': 6.31472105549598, 'tech': 31.07, 'news': 0.0, 'inst': 60.0, 'future': 14.38240351831993}",0,BEAR
9984.T,"{'market': 59.80808251522997, 'tech': 37.15, 'news': 0.0, 'inst': 50.0, 'future': 39.36027505076655}",0,BEAR
7203.T,"{'market': 65.57964962166179, 'tech': 100.0, 'news': 0.0, 'inst': 75.0, 'future': 41.9321654055393}",0,BEAR
6758.T,"{'market': 26.175492447520938, 'tech': 31.23, 'news': 0.0, 'inst': 60.0, 'future': 13.918308158403123}",0,BEAR
9432.T,"{'market': 69.55831498115745, 'tech': 43.43, 'news': 0.0, 'inst': 50.0, 'future': 38.52771660385815}",0,SIDE
9984.T,"{'market': 60.269715474026974, 'tech': 37.06, 'news': 0.0, 'inst': 50.0, 'future': 40.89905158008991}",0,BEAR
7203.T,"{'market': 70.42523205558639, 'tech': 43.94, 'news': 0.0, 'inst': 50.0, 'future': 41.41744018528797}",0,SIDE
8306.T,"{'market': 88.40018359695338, 'tech': 54.85, 'news': 0.0, 'inst': 50.0, 'future': 43.00061198984462}",0,BULL
9432.T,"{'market': 69.82818147589174, 'tech': 46.31, 'news': 0.0, 'inst': 60.0, 'future': 39.4272715863058}",0,SIDE
7203.T,"{'market': 69.68022313876044, 'tech': 43.94, 'news': 0.0, 'inst': 60.0, 'future': 38.93407712920146}",0,SIDE
9984.T,"{'market': 75.87698990003271, 'tech': 61.07, 'news': 0.0, 'inst': 75.0, 'future': 42.923299666775705}",0,SIDE
