Time,Code,Price,NewsScore
2026-04-19 00:51:55.184055,2884.T,739.0,0
2026-04-19 00:51:58.839569,1914.T,716.0,0
2026-04-19 00:52:02.672404,2003.T,1833.0,0
2026-04-19 00:53:06.547174,2158.T,856.0,0
2026-04-19 00:53:10.270091,2411.T,493.0,0
2026-04-19 00:53:13.927708,3848.T,973.0,0
2026-04-19 00:53:17.617078,1992.T,2795.0,0
2026-04-19 00:53:21.258961,2134.T,33.0,0
2026-04-19 00:53:24.995283,3191.T,2216.0,0
2026-04-19 00:53:28.689791,3691.T,1571.0,0
2026-04-19 00:53:32.353482,2884.T,739.0,0
2026-04-19 00:53:35.948436,1914.T,716.0,0
2026-04-19 00:53:39.641017,2003.T,1833.0,0
2026-04-19 00:54:43.357550,2158.T,856.0,0
2026-04-19 00:54:47.045539,2411.T,493.0,0
2026-04-19 00:54:50.953144,3848.T,973.0,0
2026-04-19 00:54:54.775818,1992.T,2795.0,0
2026-04-19 00:54:58.476996,2134.T,33.0,0
2026-04-19 00:55:02.134321,3191.T,2216.0,0
2026-04-19 00:55:05.856056,3691.T,1571.0,0
2026-04-19 00:55:09.536390,2884.T,739.0,0
2026-04-19 00:55:13.102213,1914.T,716.0,0
2026-04-19 00:55:16.823660,2003.T,1833.0,0
2026-04-19 00:56:20.602046,2158.T,856.0,0
2026-04-19 00:56:24.228828,2411.T,493.0,0
2026-04-19 00:56:27.952940,3848.T,973.0,0
2026-04-19 00:56:31.610550,1992.T,2795.0,0
2026-04-19 00:56:35.421042,2134.T,33.0,0
2026-04-19 00:56:39.104115,3191.T,2216.0,0
2026-04-19 00:56:42.788487,3691.T,1571.0,0
2026-04-19 00:56:46.550324,2884.T,739.0,0
2026-04-19 00:56:50.258723,1914.T,716.0,0
2026-04-19 00:56:53.904038,2003.T,1833.0,0
2026-04-19 00:57:57.685619,2158.T,856.0,0
2026-04-19 00:58:01.401397,2411.T,493.0,0
2026-04-19 00:58:04.969921,3848.T,973.0,0
2026-04-19 00:58:08.741407,1992.T,2795.0,0
2026-04-19 00:58:12.493219,2134.T,33.0,0
2026-04-19 00:58:16.481184,3191.T,2216.0,0
2026-04-19 00:58:20.200931,3691.T,1571.0,0
2026-04-19 00:58:23.786111,2884.T,739.0,0
2026-04-19 00:58:27.418738,1914.T,716.0,0
2026-04-19 00:58:31.185431,2003.T,1833.0,0
2026-04-19 00:59:35.039569,2158.T,856.0,0
2026-04-19 00:59:38.734193,2411.T,493.0,0
2026-04-19 00:59:42.374697,3848.T,973.0,0
2026-04-19 00:59:46.095479,1992.T,2795.0,0
2026-04-19 00:59:49.753201,2134.T,33.0,0
2026-04-19 00:59:53.393451,3191.T,2216.0,0
2026-04-19 00:59:57.050171,3691.T,1571.0,0
2026-04-19 01:00:00.754961,2884.T,739.0,0
2026-04-19 01:00:04.355468,1914.T,716.0,0
2026-04-19 01:00:08.314319,2003.T,1833.0,0
2026-04-19 01:01:12.130623,2158.T,856.0,0
2026-04-19 01:01:15.995486,2411.T,493.0,0
2026-04-19 01:01:19.619004,3848.T,973.0,0
2026-04-19 01:01:23.309663,1992.T,2795.0,0
2026-04-19 01:01:27.077629,2134.T,33.0,0
2026-04-19 01:01:30.977452,3191.T,2216.0,0
2026-04-19 01:01:34.668264,3691.T,1571.0,0
2026-04-19 01:01:38.336572,2884.T,739.0,0
2026-04-19 01:01:42.075194,1914.T,716.0,0
2026-04-19 01:01:45.806622,2003.T,1833.0,0
2026-04-19 01:02:49.443519,2158.T,856.0,0
2026-04-19 01:02:53.163011,2411.T,493.0,0
2026-04-19 01:02:56.862889,3848.T,973.0,0
2026-04-19 01:03:00.523517,1992.T,2795.0,0
2026-04-19 01:03:04.267988,2134.T,33.0,0
